线号,行别,里程,日期,垂加,垂加等级,水加,水加等级,数据等级,车速,车型,车号,车次
2001,单线,2009.604,2024-01-02 20:55:00,0.04,1,0.02,0,1,72,102,1473,83438
2001,单线,2023.623,2024-01-02 21:07:00,0.04,1,0.06,1,1,56,102,1473,83438
2001,单线,2033.382,2024-01-02 21:15:00,0.04,1,0.06,1,1,79,102,1473,83438
2001,单线,2032.796,2024-01-02 21:15:00,0.02,0,0.04,1,1,77,102,1473,83438
2001,单线,2039.113,2024-01-02 21:20:00,0.04,1,0.02,0,1,70,102,1473,83438
2001,单线,2041.6,2024-01-02 21:22:00,0.05,1,0.06,1,1,69,102,1473,83438
2001,单线,2050.173,2024-01-02 21:29:00,0.04,1,0.03,0,1,76,102,1473,83438
2001,单线,2056.275,2024-01-02 21:35:00,0.04,1,0.03,0,1,71,102,1473,83438
2001,单线,2064.408,2024-01-02 21:41:00,0.04,1,0.03,0,1,73,102,1473,83438
2001,单线,2073.122,2024-01-02 21:50:00,0.04,1,0.02,0,1,62,102,1473,83438
2001,单线,2079.913,2024-01-02 21:56:00,0.04,1,0.02,0,1,58,102,1473,83438
2001,单线,2090.309,2024-01-02 22:20:00,0.04,1,0.02,0,1,64,102,1473,83438
2001,单线,2098.458,2024-01-03 08:26:00,0.04,1,0.02,0,1,57,102,1332,87461
2001,单线,2081.827,2024-01-03 08:49:00,0.04,1,0.03,0,1,59,102,1332,87461
2001,单线,2022.213,2024-01-03 09:36:00,0.05,1,0.02,0,1,68,102,1332,87461
2001,单线,2012.734,2024-01-03 09:43:00,0.04,1,0.03,0,1,82,102,1332,87461
2001,单线,2009.838,2024-01-03 09:46:00,0.04,1,0.02,0,1,83,102,1332,87461
2001,单线,2099.642,2024-01-06 10:31:00,0.05,1,0.05,1,1,80,102,1366,87561
2001,单线,2096.735,2024-01-06 10:34:00,0.04,1,0.03,0,1,71,102,1366,87561
2001,单线,2093.39,2024-01-06 10:36:00,0.04,1,0.03,0,1,79,102,1366,87561
2001,单线,2089.295,2024-01-06 10:40:00,0.03,0,0.05,1,1,64,102,1366,87561
2001,单线,2084.716,2024-01-06 10:45:00,0.05,1,0.06,1,1,58,102,1366,87561
2001,单线,2084.634,2024-01-06 10:45:00,0.03,0,0.05,1,1,59,102,1366,87561
2001,单线,2084.675,2024-01-06 10:45:00,0.05,1,0.05,1,1,59,102,1366,87561
2001,单线,2083.089,2024-01-06 10:46:00,0.04,1,0.05,1,1,69,102,1366,87561
2001,单线,2083.056,2024-01-06 10:46:00,0.05,1,0.06,1,1,69,102,1366,87561
2001,单线,2083.61,2024-01-06 10:46:00,0.05,1,0.05,1,1,69,102,1366,87561
2001,单线,2083.544,2024-01-06 10:46:00,0.03,0,0.05,1,1,69,102,1366,87561
2001,单线,2075.163,2024-01-06 10:53:00,0.03,0,0.07,1,1,75,102,1366,87561
2001,单线,2074.58,2024-01-06 10:53:00,0.04,1,0.05,1,1,79,102,1366,87561
2001,单线,2075.022,2024-01-06 10:53:00,0.04,1,0.05,1,1,77,102,1366,87561
2001,单线,2073.201,2024-01-06 10:55:00,0.04,1,0.05,1,1,81,102,1366,87561
2001,单线,2070.436,2024-01-06 10:57:00,0.03,0,0.05,1,1,82,102,1366,87561
2001,单线,2068.262,2024-01-06 10:58:00,0.06,1,0.06,1,1,82,102,1366,87561
2001,单线,2068.375,2024-01-06 10:58:00,0.04,1,0.05,1,1,81,102,1366,87561
2001,单线,2067.304,2024-01-06 10:59:00,0.09,1,0.07,1,1,83,102,1366,87561
2001,单线,2064.449,2024-01-06 11:01:00,0.05,1,0.05,1,1,83,102,1366,87561
2001,单线,2062.42,2024-01-06 11:02:00,0.03,0,0.05,1,1,82,102,1366,87561
2001,单线,2062.644,2024-01-06 11:02:00,0.05,1,0.05,1,1,82,102,1366,87561
2001,单线,2062.501,2024-01-06 11:02:00,0.03,0,0.06,1,1,82,102,1366,87561
2001,单线,2062.611,2024-01-06 11:02:00,0.03,0,0.05,1,1,82,102,1366,87561
2001,单线,2061.857,2024-01-06 11:03:00,0.02,0,0.07,1,1,83,102,1366,87561
2001,单线,2061.819,2024-01-06 11:03:00,0.05,1,0.06,1,1,83,102,1366,87561
2001,单线,2061.471,2024-01-06 11:03:00,0.03,0,0.05,1,1,82,102,1366,87561
2001,单线,2061.056,2024-01-06 11:03:00,0.05,1,0.08,2,2,80,102,1366,87561
2001,单线,2050.086,2024-01-06 11:57:00,0.03,0,0.05,1,1,77,102,1366,87561
2001,单线,2050.12,2024-01-06 11:57:00,0.03,0,0.05,1,1,77,102,1366,87561
2001,单线,2049.59,2024-01-06 11:58:00,0.03,0,0.04,1,1,78,102,1366,87561
2001,单线,2045.179,2024-01-06 12:01:00,0.02,0,0.07,1,1,85,102,1366,87561
2001,单线,2041.721,2024-01-06 12:03:00,0.04,1,0.06,1,1,82,102,1366,87561
2001,单线,2041.793,2024-01-06 12:03:00,0.03,0,0.05,1,1,82,102,1366,87561
2001,单线,2041.758,2024-01-06 12:03:00,0.06,1,0.08,2,2,82,102,1366,87561
2001,单线,2041.932,2024-01-06 12:03:00,0.04,1,0.08,2,2,82,102,1366,87561
2001,单线,2041.895,2024-01-06 12:03:00,0.04,1,0.05,1,1,82,102,1366,87561
2001,单线,2041.577,2024-01-06 12:04:00,0.04,1,0.08,2,2,81,102,1366,87561
2001,单线,2041.546,2024-01-06 12:04:00,0.05,1,0.08,2,2,81,102,1366,87561
2001,单线,2039.362,2024-01-06 12:05:00,0.05,1,0.1,2,2,84,102,1366,87561
2001,单线,2039.401,2024-01-06 12:05:00,0.05,1,0.07,1,1,84,102,1366,87561
2001,单线,2039.323,2024-01-06 12:05:00,0.04,1,0.06,1,1,84,102,1366,87561
2001,单线,2038.972,2024-01-06 12:05:00,0.03,0,0.05,1,1,82,102,1366,87561
2001,单线,2038.064,2024-01-06 12:06:00,0.04,1,0.05,1,1,80,102,1366,87561
2001,单线,2036.708,2024-01-06 12:07:00,0.04,1,0.05,1,1,80,102,1366,87561
2001,单线,2036.478,2024-01-06 12:07:00,0.04,1,0.08,2,2,81,102,1366,87561
2001,单线,2036.444,2024-01-06 12:07:00,0.04,1,0.05,1,1,81,102,1366,87561
2001,单线,2036.631,2024-01-06 12:07:00,0.04,1,0.05,1,1,80,102,1366,87561
2001,单线,2036.86,2024-01-06 12:07:00,0.03,0,0.05,1,1,80,102,1366,87561
2001,单线,2036.02,2024-01-06 12:08:00,0.02,0,0.05,1,1,81,102,1366,87561
2001,单线,2036.135,2024-01-06 12:08:00,0.04,1,0.05,1,1,81,102,1366,87561
2001,单线,2036.098,2024-01-06 12:08:00,0.05,1,0.05,1,1,81,102,1366,87561
2001,单线,2035.942,2024-01-06 12:08:00,0.03,0,0.05,1,1,81,102,1366,87561
2001,单线,2033.338,2024-01-06 12:10:00,0.04,1,0.05,1,1,78,102,1366,87561
2001,单线,2029.634,2024-01-06 12:13:00,0.02,0,0.05,1,1,83,102,1366,87561
2001,单线,2028.646,2024-01-06 12:13:00,0.02,0,0.05,1,1,81,102,1366,87561
2001,单线,2028.236,2024-01-06 12:14:00,0.03,0,0.05,1,1,79,102,1366,87561
2001,单线,2024.634,2024-01-06 12:17:00,0.05,1,0.07,1,1,63,102,1366,87561
2001,单线,2024.679,2024-01-06 12:17:00,0.05,1,0.05,1,1,62,102,1366,87561
2001,单线,2023.573,2024-01-06 12:18:00,0.04,1,0.05,1,1,69,102,1366,87561
2001,单线,2023.446,2024-01-06 12:18:00,0.06,1,0.05,1,1,68,102,1366,87561
2001,单线,2023.542,2024-01-06 12:18:00,0.04,1,0.07,1,1,68,102,1366,87561
2001,单线,2023.509,2024-01-06 12:18:00,0.06,1,0.05,1,1,68,102,1366,87561
2001,单线,2022.245,2024-01-06 12:19:00,0.06,1,0.02,0,1,71,102,1366,87561
2001,单线,2019.634,2024-01-06 12:21:00,0.05,1,0.05,1,1,78,102,1366,87561
2001,单线,2019.378,2024-01-06 12:21:00,0.04,1,0.05,1,1,78,102,1366,87561
2001,单线,2020.586,2024-01-06 12:21:00,0.04,1,0.05,1,1,78,102,1366,87561
2001,单线,2016.825,2024-01-06 12:23:00,0.04,1,0.05,1,1,81,102,1366,87561
2001,单线,2009.846,2024-01-06 12:29:00,0.04,1,0.02,0,1,77,102,1366,87561
2001,单线,2002.649,2024-01-06 12:34:00,0.03,0,0.05,1,1,81,102,1366,87561
2001,单线,2003.455,2024-01-06 13:07:00,0.04,1,0.02,0,1,74,102,1332,83432
2001,单线,2010.433,2024-01-06 13:13:00,0.02,0,0.04,1,1,69,102,1332,83432
2001,单线,2024.682,2024-01-06 13:25:00,0.05,1,0.03,0,1,61,102,1332,83432
2001,单线,2030.524,2024-01-06 13:30:00,0.04,1,0.02,0,1,65,102,1332,83432
2001,单线,2037.025,2024-01-06 13:36:00,0.04,1,0.02,0,1,79,102,1332,83432
2001,单线,2043.224,2024-01-06 13:41:00,0.04,1,0.03,0,1,73,102,1332,83432
2001,单线,2048.579,2024-01-06 13:45:00,0.05,1,0.03,0,1,73,102,1332,83432
2001,单线,2060.168,2024-01-06 13:55:00,0.04,1,0.02,0,1,84,102,1332,83432
2001,单线,2067.723,2024-01-06 14:01:00,0.05,1,0.02,0,1,70,102,1332,83432
2001,单线,2075.522,2024-01-06 14:08:00,0.04,1,0.02,0,1,66,102,1332,83432
2001,单线,2080.21,2024-01-06 14:12:00,0.04,1,0.02,0,1,63,102,1332,83432
2001,单线,2081.88,2024-01-06 14:14:00,0.04,1,0.03,0,1,55,102,1332,83432
2001,单线,2099.34,2024-01-06 14:35:00,0.04,1,0.02,0,1,62,102,1332,83432
2001,单线,2095.98,2024-01-07 09:27:00,0.04,1,0.03,0,1,81,102,1332,87451
2001,单线,2088.893,2024-01-07 09:32:00,0.04,1,0.03,0,1,79,102,1332,87451
2001,单线,2057.346,2024-01-07 09:57:00,0.05,1,0.02,0,1,55,102,1332,87451
2001,单线,2035.715,2024-01-07 10:42:00,0.04,1,0.02,0,1,81,102,1332,87451
2001,单线,2026.878,2024-01-07 10:49:00,0.04,1,0.02,0,1,75,102,1332,87451
2001,单线,2084.654,2024-01-07 10:49:00,0.04,1,0.06,1,1,53,102,1373,83436
2001,单线,2019.745,2024-01-07 10:55:00,0.04,1,0.02,0,1,83,102,1332,87451
2001,单线,2011.607,2024-01-07 11:01:00,0.04,1,0.03,0,1,83,102,1332,87451
2001,单线,2098.079,2024-01-07 11:03:00,0.04,1,0.06,1,1,82,102,1373,83436
2001,单线,2006.712,2024-01-07 11:05:00,0.04,1,0.02,0,1,81,102,1332,87451
2001,单线,2098.203,2024-01-08 02:45:00,0.03,0,0.04,1,1,76,102,1332,87373
2001,单线,2069.319,2024-01-08 03:09:00,0.04,1,0.03,0,1,82,102,1332,87373
2001,单线,2057.142,2024-01-08 03:18:00,0.04,1,0.03,0,1,71,102,1332,87373
2001,单线,2052.659,2024-01-08 03:22:00,0.05,1,0.05,1,1,70,102,1332,87373
2001,单线,2031.162,2024-01-08 03:38:00,0.04,1,0.03,0,1,71,102,1332,87373
2001,单线,2025.654,2024-01-08 03:42:00,0.04,1,0.01,0,1,71,102,1332,87373
2001,单线,2024.635,2024-01-08 03:43:00,0.04,1,0.08,1,1,68,102,1332,87373
2001,单线,2012.338,2024-01-08 03:53:00,0.04,1,0.02,0,1,82,102,1332,87373
2001,单线,2007.593,2024-01-08 03:56:00,0.04,1,0.02,0,1,82,102,1332,87373
2001,单线,2019.832,2024-01-08 10:33:00,0.05,1,0.02,0,1,105,101,1361,57312
2001,单线,2040.267,2024-01-08 10:44:00,0.04,1,0.02,0,1,102,101,1361,57312
2001,单线,2044.805,2024-01-08 10:47:00,0.04,1,0.02,0,1,109,101,1361,57312
2001,单线,2047.447,2024-01-08 10:49:00,0.04,1,0.02,0,1,104,101,1361,57312
2001,单线,2059.168,2024-01-08 11:05:00,0.04,1,0.02,0,1,103,101,1361,57312
2001,单线,2078.65,2024-01-08 11:16:00,0.04,1,0.03,1,1,109,101,1361,57312
2001,单线,2079.976,2024-01-08 11:16:00,0.02,0,0.04,1,1,107,101,1361,57312
2001,单线,2079.86,2024-01-08 14:27:00,0.03,1,0.04,1,1,100,101,1361,57311
2001,单线,2046.743,2024-01-08 15:05:00,0.04,1,0.02,0,1,103,101,1361,57311
2001,单线,2043.633,2024-01-08 15:07:00,0.04,1,0.02,0,1,104,101,1361,57311
2001,单线,2019.447,2024-01-08 15:22:00,0.04,1,0.02,0,1,94,101,1361,57311
2001,单线,2008.675,2024-01-08 15:30:00,0.04,1,0.02,0,1,86,101,1361,57311
2001,单线,2084.349,2024-01-09 02:04:00,0.05,1,0.02,0,1,61,102,1332,87581
2001,单线,2070.859,2024-01-09 02:15:00,0.05,1,0.03,0,1,83,102,1332,87581
2001,单线,2063.034,2024-01-09 02:21:00,0.05,1,0.02,0,1,80,102,1332,87581
2001,单线,2055.856,2024-01-09 02:28:00,0.04,1,0.02,0,1,60,102,1332,87581
2001,单线,2048.452,2024-01-09 02:34:00,0.04,1,0.02,0,1,79,102,1332,87581
2001,单线,2040.902,2024-01-09 02:40:00,0.04,1,0.03,0,1,75,102,1332,87581
2001,单线,2032.886,2024-01-09 02:46:00,0.05,1,0.02,0,1,80,102,1332,87581
2001,单线,2026.705,2024-01-09 02:51:00,0.04,1,0.02,0,1,53,102,1332,87581
2001,单线,2015.95,2024-01-09 03:00:00,0.04,1,0.04,1,1,78,102,1332,87581
2001,单线,2009.591,2024-01-09 03:05:00,0.06,1,0.03,0,1,81,102,1332,87581
2001,单线,2099.979,2024-01-10 21:28:00,0.04,1,0.02,0,1,72,102,1332,51341
2001,单线,2095.791,2024-01-10 21:31:00,0.04,1,0.02,0,1,71,102,1332,51341
2001,单线,2071.403,2024-01-10 21:52:00,0.04,1,0.02,0,1,71,102,1332,51341
2001,单线,2063.041,2024-01-10 21:58:00,0.05,1,0.02,0,1,73,102,1332,51341
2001,单线,2057.722,2024-01-10 22:03:00,0.04,1,0.02,0,1,70,102,1332,51341
2001,单线,2053.353,2024-01-10 22:07:00,0.05,1,0.02,0,1,74,102,1332,51341
2001,单线,2042.194,2024-01-10 22:16:00,0.04,1,0.02,0,1,67,102,1332,51341
2001,单线,2032.023,2024-01-10 22:25:00,0.06,1,0.02,0,1,63,102,1332,51341
2001,单线,2024.937,2024-01-10 22:31:00,0.04,1,0.02,0,1,75,102,1332,51341
2001,单线,2024.657,2024-01-10 22:31:00,0.05,1,0.08,1,1,76,102,1332,51341
2001,单线,2015.952,2024-01-10 22:38:00,0.03,0,0.04,1,1,69,102,1332,51341
2001,单线,2009.581,2024-01-10 22:44:00,0.06,1,0.02,0,1,71,102,1332,51341
2001,单线,2003.212,2024-01-11 05:33:00,0.04,1,0.02,0,1,70,102,1346,83432
2001,单线,2013.563,2024-01-11 05:42:00,0.04,1,0.02,0,1,81,102,1346,83432
2001,单线,2024.715,2024-01-11 05:52:00,0.03,0,0.04,1,1,70,102,1346,83432
2001,单线,2031.297,2024-01-11 05:58:00,0.04,1,0.03,0,1,68,102,1346,83432
2001,单线,2032.006,2024-01-11 05:58:00,0.07,1,0.03,0,1,74,102,1346,83432
2001,单线,2040.768,2024-01-11 06:06:00,0.04,1,0.02,0,1,64,102,1346,83432
2001,单线,2046.951,2024-01-11 06:11:00,0.04,1,0.03,0,1,68,102,1346,83432
2001,单线,2047.623,2024-01-11 06:12:00,0.07,1,0.04,1,1,66,102,1346,83432
2001,单线,2054.431,2024-01-11 06:18:00,0.03,0,0.06,1,1,67,102,1346,83432
2001,单线,2070.394,2024-01-11 06:33:00,0.04,1,0.03,0,1,62,102,1346,83432
2001,单线,2079.908,2024-01-11 06:43:00,0.04,1,0.02,0,1,57,102,1346,83432
2001,单线,2085.56,2024-01-11 06:50:00,0.04,1,0.01,0,1,58,102,1346,83432
2001,单线,2099.732,2024-01-12 02:26:00,0.05,1,0.01,0,1,73,102,1353,87373
2001,单线,2099.867,2024-01-12 02:26:00,0.06,1,0.01,0,1,72,102,1353,87373
2001,单线,2099.693,2024-01-12 02:26:00,0.06,1,0.01,0,1,74,102,1353,87373
2001,单线,2097.416,2024-01-12 02:28:00,0.05,1,0.01,0,1,70,102,1353,87373
2001,单线,2097.615,2024-01-12 02:28:00,0.05,1,0.01,0,1,70,102,1353,87373
2001,单线,2097.815,2024-01-12 02:28:00,0.05,1,0.01,0,1,70,102,1353,87373
2001,单线,2098.277,2024-01-12 02:28:00,0.05,1,0.01,0,1,70,102,1353,87373
2001,单线,2097.449,2024-01-12 02:28:00,0.05,1,0.01,0,1,70,102,1353,87373
2001,单线,2097.715,2024-01-12 02:28:00,0.05,1,0.01,0,1,70,102,1353,87373
2001,单线,2096.381,2024-01-12 02:29:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2095.977,2024-01-12 02:29:00,0.06,1,0.01,0,1,72,102,1353,87373
2001,单线,2096.448,2024-01-12 02:29:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2096.547,2024-01-12 02:29:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2096.581,2024-01-12 02:29:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2097.15,2024-01-12 02:29:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2096.079,2024-01-12 02:29:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2095.568,2024-01-12 02:30:00,0.05,1,0.01,0,1,73,102,1353,87373
2001,单线,2095.738,2024-01-12 02:30:00,0.05,1,0.01,0,1,72,102,1353,87373
2001,单线,2095.943,2024-01-12 02:30:00,0.05,1,0.01,0,1,72,102,1353,87373
2001,单线,2095.838,2024-01-12 02:30:00,0.05,1,0.01,0,1,72,102,1353,87373
2001,单线,2095.534,2024-01-12 02:30:00,0.05,1,0.01,0,1,73,102,1353,87373
2001,单线,2095.152,2024-01-12 02:30:00,0.05,1,0.01,0,1,74,102,1353,87373
2001,单线,2095.291,2024-01-12 02:30:00,0.05,1,0.01,0,1,74,102,1353,87373
2001,单线,2095.186,2024-01-12 02:30:00,0.05,1,0.01,0,1,74,102,1353,87373
2001,单线,2095.704,2024-01-12 02:30:00,0.05,1,0.01,0,1,72,102,1353,87373
2001,单线,2095.874,2024-01-12 02:30:00,0.05,1,0.01,0,1,72,102,1353,87373
2001,单线,2095.669,2024-01-12 02:30:00,0.05,1,0.01,0,1,72,102,1353,87373
2001,单线,2095.255,2024-01-12 02:30:00,0.06,1,0.01,0,1,74,102,1353,87373
2001,单线,2095.396,2024-01-12 02:30:00,0.05,1,0.01,0,1,73,102,1353,87373
2001,单线,2095.807,2024-01-12 02:30:00,0.05,1,0.01,0,1,72,102,1353,87373
2001,单线,2093.756,2024-01-12 02:31:00,0.05,1,0.01,0,1,77,102,1353,87373
2001,单线,2093.719,2024-01-12 02:31:00,0.06,1,0.01,0,1,77,102,1353,87373
2001,单线,2093.61,2024-01-12 02:31:00,0.05,1,0.01,0,1,78,102,1353,87373
2001,单线,2093.864,2024-01-12 02:31:00,0.05,1,0.01,0,1,77,102,1353,87373
2001,单线,2094.334,2024-01-12 02:31:00,0.05,1,0.01,0,1,76,102,1353,87373
2001,单线,2093.574,2024-01-12 02:31:00,0.07,1,0.01,0,1,78,102,1353,87373
2001,单线,2093.646,2024-01-12 02:31:00,0.05,1,0.01,0,1,78,102,1353,87373
2001,单线,2093.902,2024-01-12 02:31:00,0.05,1,0.01,0,1,77,102,1353,87373
2001,单线,2094.62,2024-01-12 02:31:00,0.05,1,0.01,0,1,76,102,1353,87373
2001,单线,2093.79,2024-01-12 02:31:00,0.05,1,0.01,0,1,77,102,1353,87373
2001,单线,2091.742,2024-01-12 02:33:00,0.05,1,0.01,0,1,73,102,1353,87373
2001,单线,2091.017,2024-01-12 02:33:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2089.88,2024-01-12 02:34:00,0.05,1,0.01,0,1,72,102,1353,87373
2001,单线,2089.946,2024-01-12 02:34:00,0.06,1,0.01,0,1,72,102,1353,87373
2001,单线,2090.287,2024-01-12 02:34:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2089.284,2024-01-12 02:35:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2089.15,2024-01-12 02:35:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2089.581,2024-01-12 02:35:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2089.084,2024-01-12 02:35:00,0.05,1,0.01,0,1,71,102,1353,87373
2001,单线,2084.641,2024-01-12 02:39:00,0.05,1,0.01,0,1,64,102,1353,87373
2001,单线,2084.687,2024-01-12 02:39:00,0.05,1,0.01,0,1,63,102,1353,87373
2001,单线,2084.321,2024-01-12 02:39:00,0.06,1,0.01,0,1,65,102,1353,87373
2001,单线,2083.629,2024-01-12 02:40:00,0.05,1,0.01,0,1,65,102,1353,87373
2001,单线,2083.584,2024-01-12 02:40:00,0.06,1,0.01,0,1,65,102,1353,87373
2001,单线,2075.163,2024-01-12 02:47:00,0.05,1,0.01,0,1,76,102,1353,87373
2001,单线,2074.303,2024-01-12 02:48:00,0.06,1,0.01,0,1,79,102,1353,87373
2001,单线,2071.916,2024-01-12 02:50:00,0.05,1,0.01,0,1,82,102,1353,87373
2001,单线,2070.849,2024-01-12 02:50:00,0.05,1,0.01,0,1,82,102,1353,87373
2001,单线,2066.989,2024-01-12 02:53:00,0.06,1,0.01,0,1,79,102,1353,87373
2001,单线,2067.299,2024-01-12 02:53:00,0.05,1,0.01,0,1,79,102,1353,87373
2001,单线,2067.765,2024-01-12 02:53:00,0.05,1,0.01,0,1,79,102,1353,87373
2001,单线,2062.665,2024-01-12 02:56:00,0.05,1,0.01,0,1,83,102,1353,87373
2001,单线,2063.744,2024-01-12 02:56:00,0.05,1,0.01,0,1,83,102,1353,87373
2001,单线,2063.055,2024-01-12 02:56:00,0.05,1,0.01,0,1,83,102,1353,87373
2001,单线,2061.283,2024-01-12 02:57:00,0.05,1,0.01,0,1,82,102,1353,87373
2001,单线,2061.091,2024-01-12 02:58:00,0.07,1,0.01,0,1,82,102,1353,87373
2001,单线,2061.014,2024-01-12 02:58:00,0.06,1,0.01,0,1,82,102,1353,87373
2001,单线,2055.477,2024-01-12 03:02:00,0.06,1,0.01,0,1,68,102,1353,87373
2001,单线,2055.445,2024-01-12 03:02:00,0.05,1,0.01,0,1,68,102,1353,87373
2001,单线,2054.381,2024-01-12 03:03:00,0.06,1,0.01,0,1,71,102,1353,87373
2001,单线,2054.414,2024-01-12 03:03:00,0.05,1,0.01,0,1,70,102,1353,87373
2001,单线,2051.402,2024-01-12 03:05:00,0.05,1,0.01,0,1,78,102,1353,87373
2001,单线,2052.153,2024-01-12 03:05:00,0.06,1,0.01,0,1,74,102,1353,87373
2001,单线,2051.364,2024-01-12 03:05:00,0.05,1,0.01,0,1,78,102,1353,87373
2001,单线,2051.067,2024-01-12 03:06:00,0.05,1,0.01,0,1,79,102,1353,87373
2001,单线,2050.156,2024-01-12 03:06:00,0.04,1,0.01,0,1,81,102,1353,87373
2001,单线,2048.147,2024-01-12 03:08:00,0.05,1,0.01,0,1,82,102,1353,87373
2001,单线,2044.665,2024-01-12 03:10:00,0.06,1,0.01,0,1,82,102,1353,87373
2001,单线,2045.129,2024-01-12 03:10:00,0.05,1,0.01,0,1,82,102,1353,87373
2001,单线,2039.331,2024-01-12 03:14:00,0.05,1,0.01,0,1,81,102,1353,87373
2001,单线,2039.292,2024-01-12 03:14:00,0.05,1,0.01,0,1,81,102,1353,87373
2001,单线,2034.263,2024-01-12 03:18:00,0.05,1,0.01,0,1,79,102,1353,87373
2001,单线,2034.227,2024-01-12 03:18:00,0.05,1,0.01,0,1,79,102,1353,87373
2001,单线,2033.379,2024-01-12 03:19:00,0.06,1,0.01,0,1,81,102,1353,87373
2001,单线,2032.879,2024-01-12 03:19:00,0.05,1,0.01,0,1,83,102,1353,87373
2001,单线,2032.048,2024-01-12 03:20:00,0.05,1,0.01,0,1,81,102,1353,87373
2001,单线,2032.008,2024-01-12 03:20:00,0.07,1,0.01,0,1,80,102,1353,87373
2001,单线,2030.298,2024-01-12 03:21:00,0.05,1,0.01,0,1,81,102,1353,87373
2001,单线,2024.637,2024-01-12 03:26:00,0.05,1,0.01,0,1,60,102,1353,87373
2001,单线,2024.679,2024-01-12 03:26:00,0.05,1,0.01,0,1,60,102,1353,87373
2001,单线,2024.596,2024-01-12 03:26:00,0.05,1,0.01,0,1,60,102,1353,87373
2001,单线,2023.602,2024-01-12 03:27:00,0.05,1,0.01,0,1,60,102,1353,87373
2001,单线,2023.56,2024-01-12 03:27:00,0.05,1,0.01,0,1,60,102,1353,87373
2001,单线,2022.219,2024-01-12 03:28:00,0.06,1,0.01,0,1,73,102,1353,87373
2001,单线,2020.481,2024-01-12 03:29:00,0.05,1,0.01,0,1,83,102,1353,87373
2001,单线,2019.392,2024-01-12 03:30:00,0.05,1,0.01,0,1,80,102,1353,87373
2001,单线,2019.092,2024-01-12 03:30:00,0.05,1,0.01,0,1,80,102,1353,87373
2001,单线,2020.094,2024-01-12 03:30:00,0.07,1,0.01,0,1,82,102,1353,87373
