设备ID,n,coverage_days,dominant_vehicle_type,dominant_line,l3plus_rate,conflict_rate,max_acc_p95,max_acc_std,peer_support_rate,peer_residual_mean,peer_residual_p95,peer_level_disagree_rate,peer_signed_residual_mean,l3plus_cnt,isolated_l3plus_rate,vh_ratio_mean,vh_ratio_std,vh_level_gap_rate,weekly_mean_slope,piecewise_mean_gap,rolling_max_slope,cluster_label,distance_to_main_cluster,reliability_score,is_noise,rule_peer_residual_p95,rule_isolated_l3plus_rate,rule_weekly_mean_slope,rule_rolling_max_slope,rule_vh_level_gap_rate,rule_max_acc_std,rule_hit_count,is_abnormal_device,is_low_evidence,device_status
231_1607,50,18,231,3001,0.0,0.0,0.09649999999999992,0.020404081224408146,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,2.5504696762549575,2.9605841212325656,0.06,0.0010229568411386592,0.0008484848484848553,0.011909090909090909,0,4.839078334881663,56.78,0,0,0,0,1,0,0,1,0,1,low_evidence
240_30179,20,4,240,3001,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.830287104897751,56.88,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30103,56,2,240,3001,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.830287104897751,56.88,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30044,48,2,240,3001,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.830287104897751,56.88,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30613,51,1,240,3001,0.0,0.0,0.0,0.0,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.830287104897751,56.88,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30408,23,1,240,3001,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4.830287104897751,56.88,0,0,0,0,0,0,0,0,0,1,low_evidence
102_1354,78,7,102,2001,0.01282051282051282,0.0,0.11149999999999992,0.028395018159477495,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,1.0,1.0,1.140252527975602,0.6528842528192745,0.01282051282051282,0.0063574251835121385,0.0016629023150762229,0.0063574251835121385,0,4.801139914334272,57.22,0,0,1,0,0,0,1,2,0,1,low_evidence
102_1185,66,1,102,1001,0.0,0.0,0.08,0.011547005383792514,0.09090909090909091,0.001666666666666668,0.0050000000000000044,0.0,0.0,0.0,0.0,0.8215038746545813,0.35779038084738235,0.0,0.0,0.0,0.0,0,4.631382550479362,59.21,0,0,0,0,0,0,0,0,0,1,low_evidence
102_385,7,3,102,3001,0.0,0.0,0.056999999999999995,0.00786795792469443,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,3.0711615332316535,1.5509558330279136,0.0,0.007499999999999993,0.007499999999999993,0.0,0,4.121900557502106,65.18,0,0,0,0,0,0,0,0,0,1,low_evidence
239_8723,26,9,239,3001,0.0,0.0,0.0775,0.002717464881947029,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.7614725837748241,0.8171790378033866,0.0,1.4285714285714695e-05,0.00038888888888888307,0.0005166666666666667,0,4.0960865659865044,65.49,0,0,0,0,0,0,0,0,0,1,low_evidence
239_8719,232,1,239,3001,0.0,0.0,0.1,0.019749702626719653,0.3922413793103448,0.007032967032967033,0.025,0.054945054945054944,0.0003296703296703293,0.0,0.0,1.3779303704651666,1.1155414354341204,0.008620689655172414,0.0,0.0,0.0,0,4.004182795248855,66.56,0,1,0,0,0,0,0,1,0,1,low_evidence
101_1203,84,19,101,4001,0.0,0.0,0.07,0.009523952953595809,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.060231242971034785,0.09112710855698342,0.0,0.0008199952960982363,0.004696096999405826,0.0017670454545454539,0,3.894913505005632,67.84,0,0,0,0,0,0,0,0,0,1,low_evidence
239_8741,4,2,239,3001,0.0,0.0,0.07,0.015000000000000001,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.8321276303930464,0.4559982385334924,0.0,0.0,0.0,0.0,0,3.8344451312578736,68.55,0,0,0,0,0,0,0,0,0,1,low_evidence
101_259,544,2,101,3001,0.0,0.0,0.09,0.015330546657468289,0.3272058823529412,0.005112359550561797,0.015,0.0898876404494382,-3.1186040017560576e-19,0.0,0.0,2.2923116970515376,0.846964986048956,0.09191176470588236,0.01762104743083004,0.01762104743083004,0.0,0,3.757281556463092,69.46,0,0,0,1,0,0,0,1,0,1,low_evidence
101_1224,42,6,101,4001,0.0,0.0,0.05,0.005823577373595079,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.2178115078381668,0.6492729247607044,0.0,0.00021621621621620984,0.00021621621621620984,0.0,0,3.4422218117656627,73.15,0,0,0,0,0,0,0,0,0,1,low_evidence
101_230,5,1,101,3001,0.0,0.0,0.05,0.005477225575051662,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.659899308500688,1.321480236953319,0.0,0.0,0.0,0.0,0,3.3984110768726943,73.66,0,0,0,0,0,0,0,0,0,1,low_evidence
102_373,40,2,102,3001,0.0,0.0,0.08,0.012310095919141393,0.1,0.0025000000000000022,0.0050000000000000044,0.0,0.0,0.0,0.0,1.2841889453470317,0.5091059035360286,0.0,0.008266666666666665,0.008266666666666665,0.0,0,3.3505764576498307,74.22,0,0,0,0,0,0,0,0,0,1,low_evidence
102_319,12,2,102,3001,0.0,0.0,0.08,0.0156427928995103,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.7047897705121027,0.6768347889188644,0.0,0.016857142857142855,0.016857142857142855,0.0,0,3.214153836433876,75.82,0,0,0,1,0,0,0,1,0,1,low_evidence
101_257,26,2,101,3001,0.0,0.0,0.08,0.018127751780499,0.11538461538461539,0.006666666666666664,0.009499999999999996,0.3333333333333333,0.003333333333333327,0.0,0.0,2.581931560076907,1.3034294665025687,0.038461538461538464,0.0,0.0,0.0,0,3.0371145562082287,77.9,0,0,0,0,0,0,0,0,0,1,low_evidence
239_8856,17,2,239,3001,0.0,0.0,0.08199999999999999,0.005878675320972553,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,2.3361646880222118,1.747363887804497,0.058823529411764705,0.00047619047619049115,0.00047619047619049115,0.0,0,3.0353848375940293,77.92,0,0,0,0,0,0,0,0,0,1,low_evidence
102_1332,96,8,102,2001,0.0,0.0,0.08,0.018775859360808025,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.830550957596366,0.8206320670312701,0.0,0.008397435897435898,0.010822994210090989,0.0,0,2.6509736190936035,82.42,0,0,0,1,0,0,0,1,0,1,low_evidence
240_30093,85,6,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.047058823529411764,0.0,0.0,0.0,0,2.6162606495071294,82.83,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30664,22,2,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.0,0,2.5655344934322324,83.42,0,0,0,0,0,0,0,0,0,1,low_evidence
101_245,12,3,101,3001,0.0,0.0,0.10899999999999999,0.025746432527221863,0.08333333333333333,0.0050000000000000044,0.0050000000000000044,0.0,0.0050000000000000044,0.0,0.0,2.0530886205574226,1.7190839299937417,0.0,0.0049999999999999975,0.006999999999999992,0.0,0,2.524140125426585,83.91,0,0,0,0,0,0,1,1,0,1,low_evidence
101_357,15,2,101,3001,0.0,0.0,0.11,0.02725540575476988,0.13333333333333333,0.0049999999999999975,0.005000000000000004,0.0,6.938893903907228e-18,0.0,0.0,1.657980417748124,0.8972705925021394,0.0,0.011999999999999997,0.011999999999999997,0.0,0,2.46035442519552,84.66,0,0,0,1,0,0,1,2,0,1,low_evidence
231_1605,37,13,231,3001,0.0,0.0,0.04199999999999996,0.005155247479663472,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,2.2813777334738394,1.0651226001912686,0.0,0.00012121212121212111,0.005714285714285713,0.009000000000000003,0,2.4443938389786353,84.84,0,0,0,0,0,0,0,0,0,1,low_evidence
101_1221,287,18,101,4001,0.0,0.0,0.06,0.013613928573072129,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.752768267240452,0.7930076168851966,0.0,0.001014427921988406,0.004799922221595601,0.002133315756823819,0,2.4349311966032925,84.96,0,0,0,0,0,0,0,0,0,1,low_evidence
102_1373,25,3,102,2001,0.0,0.0,0.06,0.009363047936792091,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.2899484189616977,0.6490858002912728,0.0,0.013913043478260868,0.013913043478260868,0.0,0,2.421997874660746,85.11,0,0,0,1,0,0,0,1,0,1,low_evidence
102_332,7,2,102,3001,0.0,0.0,0.06399999999999999,0.011126972805283738,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.857035467054421,1.1482538389665433,0.0,0.008333333333333338,0.008333333333333338,0.0,0,2.229732484170627,87.36,0,0,0,1,0,0,0,1,0,1,low_evidence
101_360,38,1,101,3001,0.0,0.0,0.09149999999999998,0.013878152955103014,0.21052631578947367,0.004999999999999999,0.010000000000000004,0.125,-5.204170427930421e-18,0.0,0.0,0.9842748705065881,0.6398925249997569,0.0,0.0,0.0,0.0,0,2.1248771361707806,88.59,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30414,38,2,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0,2.0758997934723267,89.16,0,0,0,0,0,0,0,0,0,1,low_evidence
102_1481,121,1,102,1001,0.0,0.0,0.08,0.010327955589886445,0.1322314049586777,0.005000000000000002,0.015,0.0625,-8.673617379884035e-19,0.0,0.0,0.7515666507296668,0.3426279254193666,0.0,0.0,0.0,0.0,0,1.980236838691099,90.28,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30079,28,2,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9455925357119623,90.69,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30603,30,3,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9455925357119623,90.69,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30041,8,1,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9455925357119623,90.69,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30045,49,1,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9455925357119623,90.69,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30078,24,1,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9455925357119623,90.69,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30038,5,1,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9455925357119623,90.69,0,0,0,0,0,0,0,0,0,1,low_evidence
240_30478,23,2,240,3001,0.0,0.0,0.0,0.0,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.9455925357119623,90.69,0,0,0,0,0,0,0,0,0,1,low_evidence
103_6232,96,15,103,4001,0.0,0.0,0.1,0.021926662052668435,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,3.1994882907000957,1.5473032614288147,0.010416666666666666,0.002165367965367962,0.0082109002109002,0.005975824175824172,0,1.8193474729135308,92.17,0,0,0,0,0,0,0,0,0,1,low_evidence
101_1361,184,13,101,1001,0.0,0.0,0.12,0.02917797527095275,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,2.0095310561653346,1.031410661868881,0.0,0.0053680678589940155,0.014961149880111074,0.007245944741532976,0,1.8115575920032172,92.26,0,0,0,0,0,0,1,1,0,1,low_evidence
101_215,48,1,101,3001,0.0,0.0,0.12,0.015629520622642813,0.20833333333333334,0.005,0.010000000000000009,0.0,4.163336342344337e-18,0.0,0.0,1.391917296998998,0.7406438974816743,0.041666666666666664,0.0,0.0,0.0,0,1.7359886586276276,93.15,0,0,0,0,0,0,0,0,0,1,low_evidence
102_1502,16,1,102,2001,0.0,0.0,0.09,0.010246950765959594,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.1559334232169163,0.1524126472493108,0.0,0.0,0.0,0.0,0,1.7119677004619225,93.43,0,0,0,0,0,0,0,0,0,1,low_evidence
102_366,4,1,102,3001,0.0,0.0,0.06,0.004999999999999996,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.599947377036786,0.6163929800051327,0.0,0.0,0.0,0.0,0,1.6656165563466914,93.97,0,0,0,0,0,0,0,0,0,1,low_evidence
240_230,133,1,240,3001,0.0,0.0,0.07,0.006999820978734802,0.22556390977443608,0.004333333333333333,0.012749999999999987,0.06666666666666667,0.0,0.0,0.0,0.8950360438080904,0.5370034202155126,0.03007518796992481,0.0,0.0,0.0,0,1.6583165811938256,94.06,0,0,0,0,0,0,0,0,0,1,low_evidence
104_7523,15,2,104,4001,0.0,0.0,0.09299999999999999,0.016761634196950516,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.7266082022522755,0.7163413156555718,0.0,0.0,0.0,0.0,0,1.6046427735885465,94.69,0,0,0,0,0,0,0,0,0,1,low_evidence
102_1365,20,3,102,2001,0.0,0.0,0.05100000000000002,0.007591546545162484,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.599936371748675,0.4825573842371471,0.0,0.0005555555555555522,0.0005555555555555522,0.0,0,1.5522594007146537,95.3,0,0,0,0,0,0,0,0,0,1,low_evidence
104_7524,4,2,104,4001,0.0,0.0,0.06549999999999999,0.015000000000000005,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,2.3748812559372032,0.7499625018749063,0.0,0.0,0.0,0.0,0,1.5508780708506453,95.32,0,0,0,0,0,0,0,0,0,1,low_evidence
101_1218,9,1,101,4001,0.0,0.0,0.09799999999999999,0.022047927592204922,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,2.157312003006947,0.7740878342717564,0.0,0.0,0.0,0.0,0,1.5093503620013142,95.8,0,0,0,0,0,0,0,0,0,1,low_evidence
102_1319,37,3,102,2001,0.0,0.0,0.051999999999999956,0.007769193031477617,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.749921512673201,0.4991931053794457,0.0,0.0033974358974358937,0.0033974358974358937,0.0,0,1.4831320008926223,96.11,0,0,0,0,0,0,0,0,0,1,low_evidence
102_310,16,1,102,3001,0.0,0.0,0.07,0.008539125638299666,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.7313826632805283,0.39260718326345345,0.0,0.0,0.0,0.0,0,1.4641133723221424,96.33,0,0,0,0,0,0,0,0,0,1,low_evidence
101_1205,56,9,101,4001,0.0,0.0,0.11,0.0237020192027117,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.3021907468941187,0.7330409374655729,0.0,0.0028682539682539678,0.0013412698412698376,0.0028682539682539678,0,1.4150979367681946,96.91,0,0,0,0,0,0,0,0,0,1,low_evidence
102_377,3,1,102,3001,0.0,0.0,0.059,0.010000000000000002,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.0833043989640965,0.3632254882780236,0.0,0.0,0.0,0.0,0,1.3802081488377276,97.32,0,0,0,0,0,0,0,0,0,1,low_evidence
102_1388,178,2,102,2001,0.0,0.0,0.09,0.010526060195956739,0.0898876404494382,0.004374999999999999,0.009999999999999998,0.0625,0.0,0.0,0.0,1.6821761001010171,0.35983371430556377,0.0,0.005991949396204718,0.005991949396204718,0.0,0,1.345348791284123,97.73,0,0,0,0,0,0,0,0,0,1,low_evidence
102_185,39,1,102,3001,0.0,0.0,0.07,0.008847180601095133,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,0.7353561167728565,0.6098014173876567,0.0,0.0,0.0,0.0,0,1.2804099876589146,98.49,0,0,0,0,0,0,0,0,0,1,low_evidence
104_10475,127,7,104,4001,0.0,0.0,0.07,0.013491747351406184,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,2.2772543109199974,0.8298922594742907,0.0,0.0003317307692307682,0.0003942307692307717,0.0,0,1.2364075139720554,99.0,0,0,0,0,0,0,0,0,0,1,low_evidence
101_356,24,2,101,3001,0.0,0.0,0.1,0.01293797914466653,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,2.4622728194326444,1.0255318322539624,0.0,0.00311111111111112,0.00311111111111112,0.0,0,1.2294510430876893,99.08,0,0,0,0,0,0,0,0,0,1,low_evidence
231_1599,85,19,231,3001,0.0,0.0,0.07,0.011891196753232606,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.749425801437289,1.1838681387286927,0.0,0.001219451488682258,0.008535249142392003,0.006011111111111113,0,1.1939293784191487,99.5,0,0,0,0,0,0,0,0,0,1,low_evidence
231_1608,95,29,231,3001,0.0,0.0,0.06,0.008975517278370853,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.366545983714111,0.9978634292039584,0.0,0.0004720128356491994,0.0035180375180375173,0.0030238095238095232,0,1.160328259477322,99.89,0,0,0,0,0,0,0,0,0,1,low_evidence
102_1377,22,1,102,1001,0.0,0.0,0.08,0.013068252399583532,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0,1.141201245195123,0.6747011294558988,0.0,0.0,0.0,0.0,0,1.0776429564046401,100.0,0,0,0,0,0,0,0,0,0,1,low_evidence
