设备ID,n,coverage_days,l3plus_rate,conflict_rate,max_acc_p95,max_acc_std,peer_support_rate,peer_residual_mean,peer_residual_p95,peer_level_disagree_rate,l3plus_cnt,isolated_l3plus_rate,weekly_mean_slope,cluster_label,distance_to_main_cluster,reliability_score,is_noise,is_abnormal_device
101_257,26,2,0.0,0.0,0.08,0.018127751780499,0.11538461538461539,0.006666666666666664,0.009499999999999996,0.3333333333333333,0.0,0.0,0.0,0,3.9908786765347544,52.94,0,0
102_385,7,3,0.0,0.0,0.056999999999999995,0.00786795792469443,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.007499999999999993,0,3.969431452132831,53.27,0,0
239_8723,26,9,0.0,0.0,0.0775,0.002717464881947029,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,1.4285714285714695e-05,0,3.9390631987710374,53.74,0,0
101_1361,184,13,0.0,0.0,0.12,0.02917797527095275,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0053680678589940155,0,3.862069154638815,54.93,0,0
103_6384,249,23,0.0,0.0,0.09,0.016344502580586978,0.024096385542168676,0.0,0.0,0.0,0.0,0.0,0.00030453708615987504,0,3.745498819451951,56.72,0,0
101_210,128,2,0.0078125,0.0,0.11,0.016740955661392002,0.328125,0.006666666666666667,0.015000000000000013,0.19047619047619047,1.0,0.0,0.005317460317460318,0,3.7286362107514024,56.98,0,0
237_6344,154,18,0.0,0.0,0.07,0.011910311922482314,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0003885887472727743,0,3.700916265679302,57.41,0,0
101_1245,3148,25,0.0028589580686149934,0.0,0.12,0.02448082852281703,0.3303684879288437,0.007019230769230769,0.020000000000000004,0.1326923076923077,9.0,0.8888888888888888,0.0010245237693930923,0,3.6888835526947483,57.59,0,0
237_6338,127,12,0.0,0.0,0.07699999999999989,0.01427802567751733,0.031496062992125984,0.0,0.0,0.0,0.0,0.0,0.002247546743345653,0,3.679614808618639,57.73,0,0
102_1385,32,1,0.0,0.0,0.07,0.010544643954588144,0.0625,0.010000000000000002,0.010000000000000009,0.0,0.0,0.0,0.0,0,3.66849575729306,57.9,0,0
237_8065,97,13,0.0,0.0,0.07,0.011405709367924776,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0015177179058758,0,3.6645432027833564,57.97,0,0
239_8722,53,13,0.0,0.0,0.08,0.017374889710522767,0.018867924528301886,0.010000000000000002,0.010000000000000002,0.0,0.0,0.0,0.002473529411764706,0,3.6610258729496628,58.02,0,0
103_6121,33,3,0.0,0.0,0.08,0.011112373665641762,0.12121212121212122,0.005000000000000001,0.010000000000000007,0.0,0.0,0.0,0.007111111111111117,0,3.6169712277517387,58.7,0,0
101_1357,1474,20,0.0027137042062415195,0.0,0.12,0.01880893455243471,0.2062415196743555,0.0075,0.020000000000000004,0.14802631578947367,4.0,0.5,0.0006342158891437318,0,3.605029511895292,58.88,0,0
237_6367,147,18,0.0,0.0,0.08,0.017312705014400985,0.06802721088435375,0.008,0.019999999999999997,0.2,0.0,0.0,0.0029769826930114017,0,3.5454823315653448,59.8,0,0
239_8065,155,10,0.0,0.0,0.09,0.016848968074575005,0.06451612903225806,0.004000000000000001,0.010000000000000002,0.0,0.0,0.0,0.006868968456948002,0,3.538014902032806,59.91,0,0
101_245,12,3,0.0,0.0,0.10899999999999999,0.025746432527221863,0.08333333333333333,0.0050000000000000044,0.0050000000000000044,0.0,0.0,0.0,0.0049999999999999975,0,3.5320499122259776,60.0,0,0
239_8719,232,1,0.0,0.0,0.1,0.019749702626719653,0.3922413793103448,0.007032967032967033,0.025,0.054945054945054944,0.0,0.0,0.0,0,3.518333356165517,60.22,0,0
102_327,17,1,0.0,0.0,0.08199999999999999,0.01227743027337753,0.35294117647058826,0.008333333333333331,0.02,0.16666666666666666,0.0,0.0,0.0,0,3.3744718856253053,62.43,0,0
239_8729,756,21,0.0,0.0,0.1,0.009642938577534621,0.15608465608465608,0.0068644067796610145,0.019999999999999993,0.2033898305084746,0.0,0.0,0.00031712141737149394,0,3.21370410341521,64.9,0,0
101_1184,91,5,0.0,0.0,0.095,0.02161320538769405,0.02197802197802198,0.0049999999999999975,0.005000000000000004,0.0,0.0,0.0,0.005352564102564104,0,3.2134667029940327,64.91,0,0
102_73,77,3,0.0,0.0,0.07200000000000004,0.00797295496892037,0.1038961038961039,0.0025000000000000022,0.0050000000000000044,0.0,0.0,0.0,0.00541666666666666,0,3.207295719572517,65.0,0,0
101_1241,1129,19,0.001771479185119575,0.0,0.11,0.01668716897883603,0.141718334809566,0.0071874999999999994,0.020000000000000004,0.09375,2.0,1.0,0.0011404186522136646,0,3.0833998986503204,66.91,0,0
240_229,132,3,0.0,0.0,0.06,0.004844923368098619,0.10606060606060606,0.000714285714285714,0.0049999999999999975,0.0,0.0,0.0,0.000783475783475783,0,3.0770568077073626,67.01,0,0
239_8738,203,16,0.0,0.0,0.09,0.015798967514700335,0.10837438423645321,0.0049999999999999975,0.009999999999999995,0.18181818181818182,0.0,0.0,0.005408218828150782,0,3.0709415432281917,67.1,0,0
239_8698,198,13,0.0,0.0,0.09,0.008584508762816122,0.1414141414141414,0.00714285714285714,0.02,0.17857142857142858,0.0,0.0,0.00042509124862066025,0,3.008880633761345,68.06,0,0
102_1388,178,2,0.0,0.0,0.09,0.010526060195956739,0.0898876404494382,0.004374999999999999,0.009999999999999998,0.0625,0.0,0.0,0.005991949396204718,0,2.912289913896084,69.54,0,0
101_1187,615,31,0.0,0.0,0.09,0.012376301963643189,0.022764227642276424,0.0007142857142857149,0.0050000000000000044,0.0,0.0,0.0,0.00014091337100026116,0,2.8511277851832135,70.49,0,0
237_8072,125,11,0.0,0.0,0.08,0.015111200716580214,0.048,0.008333333333333333,0.015000000000000005,0.0,0.0,0.0,0.003072829219522681,0,2.848445707870851,70.53,0,0
101_1356,1256,18,0.0,0.0,0.12,0.016555943697143843,0.18789808917197454,0.006864406779661017,0.01625000000000001,0.1059322033898305,0.0,0.0,0.001538189124121842,0,2.8302002272953093,70.81,0,0
239_8702,401,29,0.0,0.0,0.09,0.0079664978052966,0.12967581047381546,0.005865384615384614,0.01999999999999999,0.17307692307692307,0.0,0.0,8.398117016677385e-05,0,2.6732656959262497,73.22,0,0
101_1216,464,19,0.0021551724137931034,0.00646551724137931,0.11,0.01677501955292357,0.017241379310344827,0.0025000000000000005,0.0050000000000000044,0.0,1.0,1.0,0.0013733216654679423,0,2.6589877688600736,73.44,0,0
239_6041,189,22,0.0,0.0,0.09,0.009794695382613253,0.06878306878306878,0.005769230769230769,0.015,0.23076923076923078,0.0,0.0,0.00030561074023335437,0,2.650528317001284,73.57,0,0
102_1327,1968,12,0.0,0.0,0.07,0.010343252629473856,0.241869918699187,0.0033823529411764705,0.010000000000000002,0.018907563025210083,0.0,0.0,0.00505845050025318,0,2.4824834949341685,76.16,0,0
239_6046,489,19,0.0,0.0,0.08,0.013199358753651391,0.15950920245398773,0.004230769230769231,0.015,0.23076923076923078,0.0,0.0,0.002591865533343209,0,2.4742709520871937,76.29,0,0
101_1395,460,26,0.0,0.0,0.09,0.020096574638726612,0.030434782608695653,0.0021428571428571417,0.0050000000000000044,0.0,0.0,0.0,0.0026267173149912447,0,2.4507045865138455,76.65,0,0
101_1398,484,23,0.0,0.0,0.09,0.01993779145116908,0.03305785123966942,0.0012500000000000002,0.009999999999999998,0.0,0.0,0.0,0.00017044581082140684,0,2.444686426289355,76.74,0,0
103_6309,108,4,0.0,0.0,0.09,0.017711780404833226,0.07407407407407407,0.005000000000000001,0.010000000000000002,0.0,0.0,0.0,0.004814169570267132,0,2.440112214683197,76.81,0,0
239_8735,44,4,0.0,0.0,0.08850000000000001,0.008387421368293256,0.13636363636363635,0.001666666666666666,0.005000000000000001,0.0,0.0,0.0,0.000576923076923079,0,2.4046761370215473,77.36,0,0
248_52,19737,29,0.0,0.0,0.09,0.016774444953683795,0.45974565536809037,0.006674013665417677,0.01999999999999999,0.10094776283888032,0.0,0.0,0.0014302237062413096,0,2.391307565554632,77.56,0,0
103_6388,887,17,0.002254791431792559,0.0,0.06,0.01025216433495831,0.11724915445321307,0.0016346153846153845,0.009249999999999974,0.019230769230769232,2.0,1.0,0.0001114350242988295,0,2.3897477604295916,77.59,0,0
102_1185,66,1,0.0,0.0,0.08,0.011547005383792514,0.09090909090909091,0.001666666666666668,0.0050000000000000044,0.0,0.0,0.0,0.0,0,2.3863673012879123,77.64,0,0
101_1183,922,19,0.0,0.0,0.11,0.020157804224071985,0.06941431670281996,0.0026562499999999998,0.009249999999999968,0.0,0.0,0.0,0.0024740808046615757,0,2.3791795166398977,77.75,0,0
101_215,48,1,0.0,0.0,0.12,0.015629520622642813,0.20833333333333334,0.005,0.010000000000000009,0.0,0.0,0.0,0.0,0,2.377817232590139,77.77,0,0
102_1383,880,4,0.0,0.0,0.06,0.007910116308530446,0.35,0.003181818181818182,0.010000000000000002,0.003246753246753247,0.0,0.0,0.004258832565284178,0,2.373233869403987,77.84,0,0
237_6558,209,14,0.0,0.0,0.09,0.01687695516829587,0.05741626794258373,0.0025000000000000005,0.0050000000000000044,0.0,0.0,0.0,0.0031740851854209708,0,2.3342858437152487,78.44,0,0
101_1205,56,9,0.0,0.0,0.11,0.0237020192027117,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0028682539682539678,0,2.330079018097494,78.5,0,0
237_8071,152,14,0.0,0.0,0.08,0.01626599542543284,0.046052631578947366,0.002142857142857141,0.00849999999999999,0.0,0.0,0.0,0.003816653594606544,0,2.3053159481681735,78.89,0,0
103_6170,851,45,0.0,0.0,0.1,0.019085891071414708,0.01645123384253819,0.0028571428571428576,0.0050000000000000044,0.0,0.0,0.0,0.0003508355370269863,0,2.2856174060449126,79.19,0,0
239_8062,517,25,0.0,0.0,0.09,0.009868461497099424,0.18181818181818182,0.005319148936170211,0.015,0.20212765957446807,0.0,0.0,0.00017754321863746567,0,2.2823480998465713,79.24,0,0
231_1605,37,13,0.0,0.0,0.04199999999999996,0.005155247479663472,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.00012121212121212111,0,2.2627113672957897,79.54,0,0
237_6370,289,19,0.0,0.0,0.08,0.016329858044230313,0.11764705882352941,0.0066176470588235285,0.020000000000000004,0.029411764705882353,0.0,0.0,0.0016290310527689996,0,2.2574416119008944,79.62,0,0
101_1257,1248,9,0.0016025641025641025,0.0,0.1,0.013308738857208175,0.391025641025641,0.005983606557377048,0.02,0.07581967213114754,2.0,0.0,0.0007452391681925449,0,2.2478926066516185,79.77,0,0
237_8053,214,21,0.0,0.0,0.07,0.014075272300524197,0.018691588785046728,0.007500000000000003,0.010000000000000007,0.0,0.0,0.0,0.00017298361819716995,0,2.2360679296595927,79.95,0,0
237_8074,250,19,0.0,0.0,0.08,0.015632578483415992,0.072,0.0066666666666666645,0.015,0.16666666666666666,0.0,0.0,0.00033979108045321954,0,2.2221859568875315,80.17,0,0
240_52,177,19,0.0,0.0,0.09,0.009868160189020982,0.13559322033898305,0.006249999999999999,0.019249999999999982,0.125,0.0,0.0,0.0012924275396411615,0,2.209916761529168,80.35,0,0
237_6187,201,18,0.0,0.0,0.08,0.015111690311795108,0.03980099502487562,0.0062499999999999995,0.02,0.0,0.0,0.0,0.0010899977215766687,0,2.186139591625641,80.72,0,0
239_8842,307,16,0.0,0.0,0.09,0.014920681188521709,0.08469055374592833,0.0034615384615384608,0.010000000000000002,0.15384615384615385,0.0,0.0,0.0038762734173254545,0,2.186464199968557,80.72,0,0
237_6518,312,19,0.0,0.0,0.09,0.01671216684740275,0.057692307692307696,0.006111111111111109,0.019999999999999993,0.05555555555555555,0.0,0.0,0.0006476486766455417,0,2.1615296593277162,81.1,0,0
102_1353,1204,7,0.0,0.0,0.06,0.005289001077019836,0.15614617940199335,0.002234042553191489,0.010000000000000002,0.005319148936170213,0.0,0.0,0.00016202769934113223,0,2.156929277692573,81.17,0,0
239_8704,348,25,0.005747126436781609,0.0,0.09,0.0190455101921228,0.08620689655172414,0.0033333333333333327,0.0050000000000000044,0.0,2.0,1.0,0.0018159038518368858,0,2.1392735555958295,81.44,0,0
239_911,1086,27,0.0,0.0,0.11,0.014668750396866324,0.21731123388581952,0.005889830508474576,0.016250000000000007,0.1016949152542373,0.0,0.0,0.000906470353191087,0,2.1318836957925114,81.56,0,0
237_6521,150,10,0.0,0.0,0.09,0.01654510477966285,0.08666666666666667,0.005384615384615382,0.009999999999999995,0.0,0.0,0.0,0.004175399005756149,0,2.128338169168073,81.61,0,0
237_8056,246,18,0.0,0.0,0.08,0.015974562905753192,0.04878048780487805,0.007499999999999997,0.010000000000000005,0.08333333333333333,0.0,0.0,0.0024170943062239007,0,2.1277118583111747,81.62,0,0
102_481,15,1,0.0,0.0,0.09299999999999999,0.020862360730226463,0.5333333333333333,0.0062499999999999995,0.015,0.0,0.0,0.0,0.0,0,2.1249343215578307,81.66,0,0
101_1228,170,5,0.0,0.0,0.11,0.01965070903228768,0.058823529411764705,0.0030000000000000014,0.010000000000000002,0.0,0.0,0.0,0.001256916996047422,0,2.1248209284090103,81.66,0,0
239_914,317,23,0.0,0.0,0.1,0.022603698927543776,0.1167192429022082,0.005945945945945945,0.010000000000000009,0.08108108108108109,0.0,0.0,4.0104895104894665e-05,0,2.1088830515652806,81.91,0,0
101_1178,553,23,0.0,0.0,0.11,0.019088621611083864,0.06871609403254973,0.002894736842105264,0.009999999999999997,0.02631578947368421,0.0,0.0,0.0004140474862808687,0,2.101765374349545,82.02,0,0
104_10275,749,15,0.0,0.0,0.09,0.011631891518972592,0.14152202937249667,0.00660377358490566,0.015,0.1509433962264151,0.0,0.0,0.0005436889216722275,0,2.0817817538165984,82.33,0,0
237_8061,143,10,0.0,0.0,0.07,0.011959170831016214,0.07692307692307693,0.002272727272727275,0.0050000000000000044,0.0,0.0,0.0,0.0018002244132678924,0,2.064773356218235,82.59,0,0
237_6527,261,19,0.0,0.0,0.09,0.01786290589502284,0.05363984674329502,0.006428571428571428,0.015,0.14285714285714285,0.0,0.0,0.0019950383133397493,0,2.0494744800753897,82.82,0,0
248_46,124,4,0.0,0.0,0.1,0.0108103358958919,0.06451612903225806,0.003749999999999998,0.0050000000000000044,0.0,0.0,0.0,0.0,0,2.039059201386685,82.98,0,0
237_6362,267,18,0.0,0.0,0.09,0.017328147815349356,0.04868913857677903,0.002692307692307691,0.0050000000000000044,0.0,0.0,0.0,0.0019435639757068325,0,2.0327120064490103,83.08,0,0
237_6183,86,12,0.0,0.0,0.06,0.009872650112621131,0.023255813953488372,0.0049999999999999975,0.0049999999999999975,0.0,0.0,0.0,1.882929872060229e-06,0,2.0233606731852793,83.23,0,0
103_6255,914,21,0.0,0.0,0.11,0.020737840967339265,0.09190371991247265,0.003452380952380954,0.010000000000000009,0.023809523809523808,0.0,0.0,0.001488991272698277,0,2.0159046606240385,83.34,0,0
102_1319,37,3,0.0,0.0,0.051999999999999956,0.007769193031477617,0.0,0.004278683914510686,0.010000000000000009,0.046620299934796786,0.0,0.0,0.0033974358974358937,0,2.005436885299269,83.5,0,0
102_1580,11836,8,8.448800270361608e-05,0.0,0.09,0.01035294325911303,0.5890503548496113,0.004073436603557086,0.010000000000000009,0.04188181296615032,1.0,0.0,0.004340840866889524,0,1.9791544871155387,83.91,0,0
237_8066,241,23,0.0,0.0,0.08,0.014307311771415391,0.05394190871369295,0.002692307692307693,0.0050000000000000044,0.0,0.0,0.0,9.144656343873747e-05,0,1.9787724142985674,83.91,0,0
239_8761,212,16,0.0,0.0,0.09,0.01471015686571222,0.04716981132075472,0.005999999999999998,0.015,0.1,0.0,0.0,0.0034608001338436124,0,1.954505699198441,84.29,0,0
