线号,行别,里程,日期,垂加,垂加等级,水加,水加等级,数据等级,车速,车型,车号,车次,设备ID,垂加_abs,水加_abs,max_acc,公里区间,50米网格里程,等级冲突标记
1001,单线,1021.674,2024-01-01 00:30:00,0.07,1,0.03,0,1,115,101,1257,K856,101_1257,0.07,0.03,0.07,1021,1021.65,0
1001,单线,1022.02,2024-01-01 00:30:00,0.07,1,0.03,0,1,114,101,1257,K856,101_1257,0.07,0.03,0.07,1022,1022.0,0
1001,单线,1022.051,2024-01-01 00:30:00,0.08,1,0.06,0,1,114,101,1257,K856,101_1257,0.08,0.06,0.08,1022,1022.05,0
1001,单线,1021.802,2024-01-01 00:30:00,0.09,1,0.02,0,1,114,101,1257,K856,101_1257,0.09,0.02,0.09,1021,1021.8,0
1001,单线,1021.706,2024-01-01 00:30:00,0.07,1,0.04,0,1,114,101,1257,K856,101_1257,0.07,0.04,0.07,1021,1021.7,0
1001,单线,1021.453,2024-01-01 00:30:00,0.07,1,0.03,0,1,115,101,1257,K856,101_1257,0.07,0.03,0.07,1021,1021.45,0
1001,单线,1021.12,2024-01-01 00:30:00,0.07,1,0.03,0,1,115,101,1257,K856,101_1257,0.07,0.03,0.07,1021,1021.1,0
1001,单线,1020.82,2024-01-01 00:31:00,0.08,1,0.03,0,1,114,101,1257,K856,101_1257,0.08,0.03,0.08,1020,1020.8,0
1001,单线,1020.782,2024-01-01 00:31:00,0.07,1,0.05,0,1,114,101,1257,K856,101_1257,0.07,0.05,0.07,1020,1020.8,0
1001,单线,1020.016,2024-01-01 00:31:00,0.07,1,0.03,0,1,113,101,1257,K856,101_1257,0.07,0.03,0.07,1020,1020.0,0
1001,单线,1020.528,2024-01-01 00:31:00,0.07,1,0.03,0,1,113,101,1257,K856,101_1257,0.07,0.03,0.07,1020,1020.55,0
1001,单线,1020.054,2024-01-01 00:31:00,0.09,1,0.03,0,1,113,101,1257,K856,101_1257,0.09,0.03,0.09,1020,1020.05,0
1001,单线,1020.424,2024-01-01 00:31:00,0.07,1,0.03,0,1,113,101,1257,K856,101_1257,0.07,0.03,0.07,1020,1020.4,0
1001,单线,1020.49,2024-01-01 00:31:00,0.07,1,0.03,0,1,113,101,1257,K856,101_1257,0.07,0.03,0.07,1020,1020.5,0
1001,单线,1020.385,2024-01-01 00:31:00,0.07,1,0.03,0,1,113,101,1257,K856,101_1257,0.07,0.03,0.07,1020,1020.4,0
1001,单线,1020.56,2024-01-01 00:31:00,0.07,1,0.02,0,1,114,101,1257,K856,101_1257,0.07,0.02,0.07,1020,1020.55,0
1001,单线,1017.795,2024-01-01 00:32:00,0.08,1,0.04,0,1,115,101,1257,K856,101_1257,0.08,0.04,0.08,1017,1017.8,0
1001,单线,1016.391,2024-01-01 00:33:00,0.07,1,0.03,0,1,108,101,1257,K856,101_1257,0.07,0.03,0.07,1016,1016.4,0
1001,单线,1012.95,2024-01-01 00:35:00,0.07,1,0.04,0,1,117,101,1257,K856,101_1257,0.07,0.04,0.07,1012,1012.95,0
1001,单线,1009.634,2024-01-01 00:37:00,0.07,1,0.03,0,1,117,101,1257,K856,101_1257,0.07,0.03,0.07,1009,1009.65,0
1001,单线,1009.475,2024-01-01 00:37:00,0.07,1,0.04,0,1,117,101,1257,K856,101_1257,0.07,0.04,0.07,1009,1009.5,0
1001,单线,1009.603,2024-01-01 00:37:00,0.07,1,0.03,0,1,117,101,1257,K856,101_1257,0.07,0.03,0.07,1009,1009.6,0
1001,单线,1006.933,2024-01-01 00:38:00,0.07,1,0.04,0,1,117,101,1257,K856,101_1257,0.07,0.04,0.07,1006,1006.95,0
1001,单线,1006.508,2024-01-01 00:38:00,0.07,1,0.03,0,1,116,101,1257,K856,101_1257,0.07,0.03,0.07,1006,1006.5,0
1001,单线,1007.234,2024-01-01 00:38:00,0.07,1,0.04,0,1,116,101,1257,K856,101_1257,0.07,0.04,0.07,1007,1007.25,0
1001,单线,1003.87,2024-01-01 00:40:00,0.07,1,0.04,0,1,115,101,1257,K856,101_1257,0.07,0.04,0.07,1003,1003.85,0
1001,单线,1002.601,2024-01-01 00:40:00,0.08,1,0.03,0,1,117,101,1257,K856,101_1257,0.08,0.03,0.08,1002,1002.6,0
1001,单线,1003.965,2024-01-01 00:40:00,0.07,1,0.02,0,1,114,101,1257,K856,101_1257,0.07,0.02,0.07,1003,1003.95,0
1001,单线,1002.859,2024-01-01 00:40:00,0.08,1,0.03,0,1,117,101,1257,K856,101_1257,0.08,0.03,0.08,1002,1002.85,0
1001,单线,1000.678,2024-01-01 00:41:00,0.07,1,0.03,0,1,115,101,1257,K856,101_1257,0.07,0.03,0.07,1000,1000.7,0
1001,单线,1000.71,2024-01-01 00:41:00,0.07,1,0.04,0,1,115,101,1257,K856,101_1257,0.07,0.04,0.07,1000,1000.7,0
1001,单线,1000.615,2024-01-01 00:41:00,0.08,1,0.06,0,1,115,101,1257,K856,101_1257,0.08,0.06,0.08,1000,1000.6,0
1001,单线,1001.014,2024-01-01 00:41:00,0.08,1,0.04,0,1,114,101,1257,K856,101_1257,0.08,0.04,0.08,1001,1001.0,0
1001,单线,1000.379,2024-01-01 00:41:00,0.08,1,0.03,0,1,116,101,1257,K856,101_1257,0.08,0.03,0.08,1000,1000.4,0
1001,单线,1000.245,2024-01-01 00:41:00,0.07,1,0.03,0,1,116,101,1257,K856,101_1257,0.07,0.03,0.07,1000,1000.25,0
1001,单线,1000.909,2024-01-01 00:41:00,0.07,1,0.03,0,1,114,101,1257,K856,101_1257,0.07,0.03,0.07,1000,1000.9,0
1001,单线,1000.805,2024-01-01 00:41:00,0.09,1,0.04,0,1,114,101,1257,K856,101_1257,0.09,0.04,0.09,1000,1000.8,0
1001,单线,1000.018,2024-01-01 00:42:00,0.07,1,0.04,0,1,117,101,1257,K856,101_1257,0.07,0.04,0.07,1000,1000.0,0
1001,单线,1000.178,2024-01-01 00:42:00,0.07,1,0.03,0,1,116,101,1257,K856,101_1257,0.07,0.03,0.07,1000,1000.2,0
1001,单线,1010.764,2024-01-01 04:29:00,0.04,0,0.02,0,0,52,101,1356,K855,101_1356,0.04,0.02,0.04,1010,1010.75,0
1001,单线,1020.727,2024-01-01 04:40:00,0.04,0,0.02,0,0,54,101,1356,K855,101_1356,0.04,0.02,0.04,1020,1020.75,0
1001,单线,1007.296,2024-01-01 05:38:00,0.04,1,0.01,0,1,48,101,1357,K857,101_1357,0.04,0.01,0.04,1007,1007.3,0
1001,单线,1062.203,2024-01-01 05:40:00,0.1,1,0.04,0,1,83,101,1356,K855,101_1356,0.1,0.04,0.1,1062,1062.2,0
1001,单线,1062.65,2024-01-01 05:40:00,0.09,1,0.05,0,1,86,101,1356,K855,101_1356,0.09,0.05,0.09,1062,1062.65,0
1001,单线,1062.396,2024-01-01 05:40:00,0.1,1,0.03,0,1,85,101,1356,K855,101_1356,0.1,0.03,0.1,1062,1062.4,0
1001,单线,1062.806,2024-01-01 05:40:00,0.09,1,0.02,0,1,87,101,1356,K855,101_1356,0.09,0.02,0.09,1062,1062.8,0
1001,单线,1064.607,2024-01-01 05:41:00,0.09,1,0.03,0,1,82,101,1356,K855,101_1356,0.09,0.03,0.09,1064,1064.6,0
1001,单线,1063.583,2024-01-01 05:41:00,0.1,1,0.04,0,1,89,101,1356,K855,101_1356,0.1,0.04,0.1,1063,1063.6,0
1001,单线,1064.033,2024-01-01 05:41:00,0.09,1,0.04,0,1,86,101,1356,K855,101_1356,0.09,0.04,0.09,1064,1064.05,0
1001,单线,1063.809,2024-01-01 05:41:00,0.09,1,0.04,0,1,88,101,1356,K855,101_1356,0.09,0.04,0.09,1063,1063.8,0
1001,单线,1008.979,2024-01-01 05:41:00,0.04,1,0.02,0,1,46,101,1357,K857,101_1357,0.04,0.02,0.04,1008,1009.0,0
1001,单线,1064.318,2024-01-01 05:41:00,0.09,1,0.02,0,1,84,101,1356,K855,101_1356,0.09,0.02,0.09,1064,1064.3,0
1001,单线,1063.614,2024-01-01 05:41:00,0.09,1,0.04,0,1,89,101,1356,K855,101_1356,0.09,0.04,0.09,1063,1063.6,0
1001,单线,1066.313,2024-01-01 05:43:00,0.11,1,0.03,0,1,81,101,1356,K855,101_1356,0.11,0.03,0.11,1066,1066.3,0
1001,单线,1066.282,2024-01-01 05:43:00,0.12,2,0.03,0,2,81,101,1356,K855,101_1356,0.12,0.03,0.12,1066,1066.3,0
1001,单线,1067.356,2024-01-01 05:43:00,0.1,1,0.03,0,1,89,101,1356,K855,101_1356,0.1,0.03,0.1,1067,1067.35,0
1001,单线,1068.786,2024-01-01 05:44:00,0.09,1,0.03,0,1,91,101,1356,K855,101_1356,0.09,0.03,0.09,1068,1068.8,0
1001,单线,1067.684,2024-01-01 05:44:00,0.1,1,0.03,0,1,92,101,1356,K855,101_1356,0.1,0.03,0.1,1067,1067.7,0
1001,单线,1012.965,2024-01-01 05:46:00,0.05,1,0.02,0,1,47,101,1357,K857,101_1357,0.05,0.02,0.05,1012,1012.95,0
1001,单线,1076.132,2024-01-01 05:55:00,0.04,0,0.02,0,0,40,101,1356,K855,101_1356,0.04,0.02,0.04,1076,1076.15,0
1001,单线,1082.666,2024-01-01 06:10:00,0.1,1,0.02,0,1,77,101,1356,K855,101_1356,0.1,0.02,0.1,1082,1082.65,0
1001,单线,1034.281,2024-01-01 06:10:00,0.04,1,0.02,0,1,44,101,1357,K857,101_1357,0.04,0.02,0.04,1034,1034.3,0
1001,单线,1083.602,2024-01-01 06:11:00,0.11,1,0.02,0,1,87,101,1356,K855,101_1356,0.11,0.02,0.11,1083,1083.6,0
1001,单线,1085.754,2024-01-01 06:12:00,0.09,1,0.02,0,1,105,101,1356,K855,101_1356,0.09,0.02,0.09,1085,1085.75,0
1001,单线,1088.471,2024-01-01 06:14:00,0.09,1,0.04,0,1,90,101,1356,K855,101_1356,0.09,0.04,0.09,1088,1088.45,0
1001,单线,1089.131,2024-01-01 06:14:00,0.1,1,0.03,0,1,95,101,1356,K855,101_1356,0.1,0.03,0.1,1089,1089.15,0
1001,单线,1089.093,2024-01-01 06:14:00,0.09,1,0.03,0,1,95,101,1356,K855,101_1356,0.09,0.03,0.09,1089,1089.1,0
1001,单线,1090.245,2024-01-01 06:15:00,0.11,1,0.02,0,1,104,101,1356,K855,101_1356,0.11,0.02,0.11,1090,1090.25,0
1001,单线,1037.652,2024-01-01 06:15:00,0.04,1,0.02,0,1,44,101,1357,K857,101_1357,0.04,0.02,0.04,1037,1037.65,0
1001,单线,1090.282,2024-01-01 06:15:00,0.11,1,0.02,0,1,104,101,1356,K855,101_1356,0.11,0.02,0.11,1090,1090.3,0
1001,单线,1096.27,2024-01-01 06:19:00,0.09,1,0.02,0,1,106,101,1356,K855,101_1356,0.09,0.02,0.09,1096,1096.25,0
1001,单线,1096.792,2024-01-01 06:19:00,0.09,1,0.05,0,1,109,101,1356,K855,101_1356,0.09,0.05,0.09,1096,1096.8,0
1001,单线,1097.269,2024-01-01 06:19:00,0.11,1,0.03,0,1,112,101,1356,K855,101_1356,0.11,0.03,0.11,1097,1097.25,0
1001,单线,1096.542,2024-01-01 06:19:00,0.1,1,0.02,0,1,107,101,1356,K855,101_1356,0.1,0.02,0.1,1096,1096.55,0
1001,单线,1098.824,2024-01-01 06:20:00,0.13,2,0.06,0,2,110,101,1356,K855,101_1356,0.13,0.06,0.13,1098,1098.8,0
1001,单线,1042.418,2024-01-01 06:22:00,0.04,1,0.02,0,1,41,101,1357,K857,101_1357,0.04,0.02,0.04,1042,1042.4,0
1001,单线,1063.93,2024-01-01 06:47:00,0.04,1,0.02,0,1,57,101,1357,K857,101_1357,0.04,0.02,0.04,1063,1063.95,0
1001,单线,1066.828,2024-01-01 06:51:00,0.04,1,0.02,0,1,62,101,1357,K857,101_1357,0.04,0.02,0.04,1066,1066.85,0
1001,单线,1066.902,2024-01-01 06:51:00,0.04,1,0.02,0,1,63,101,1357,K857,101_1357,0.04,0.02,0.04,1066,1066.9,0
1001,单线,1084.409,2024-01-01 07:46:00,0.05,1,0.03,0,1,98,101,1357,K857,101_1357,0.05,0.03,0.05,1084,1084.4,0
1001,单线,1095.985,2024-01-01 07:53:00,0.07,1,0.03,0,1,108,101,1357,K857,101_1357,0.07,0.03,0.07,1095,1096.0,0
1001,单线,1095.363,2024-01-01 07:53:00,0.06,1,0.03,0,1,106,101,1357,K857,101_1357,0.06,0.03,0.06,1095,1095.35,0
1001,单线,1059.483,2024-01-01 22:01:00,0.09,1,0.03,0,1,78,101,1357,K858,101_1357,0.09,0.03,0.09,1059,1059.5,0
1001,单线,1059.39,2024-01-01 22:01:00,0.08,1,0.02,0,1,78,101,1357,K858,101_1357,0.08,0.02,0.08,1059,1059.4,0
1001,单线,1059.545,2024-01-01 22:01:00,0.06,1,0.02,0,1,78,101,1357,K858,101_1357,0.06,0.02,0.06,1059,1059.55,0
1001,单线,1059.514,2024-01-01 22:01:00,0.09,1,0.02,0,1,78,101,1357,K858,101_1357,0.09,0.02,0.09,1059,1059.5,0
1001,单线,1059.066,2024-01-01 22:01:00,0.04,1,0.01,0,1,77,101,1357,K858,101_1357,0.04,0.01,0.04,1059,1059.05,0
1001,单线,1058.357,2024-01-01 22:02:00,0.04,1,0.02,0,1,76,101,1357,K858,101_1357,0.04,0.02,0.04,1058,1058.35,0
1001,单线,1048.287,2024-01-01 22:09:00,0.08,1,0.06,0,1,92,101,1357,K858,101_1357,0.08,0.06,0.08,1048,1048.3,0
1001,单线,1048.385,2024-01-01 22:09:00,0.08,1,0.04,0,1,92,101,1357,K858,101_1357,0.08,0.04,0.08,1048,1048.4,0
1001,单线,1047.911,2024-01-01 22:09:00,0.05,1,0.03,0,1,94,101,1357,K858,101_1357,0.05,0.03,0.05,1047,1047.9,0
1001,单线,1048.349,2024-01-01 22:09:00,0.12,2,0.03,0,2,92,101,1357,K858,101_1357,0.12,0.03,0.12,1048,1048.35,0
1001,单线,1083.608,2024-01-01 23:28:00,0.1,1,0.02,0,1,73,101,1356,K856,101_1356,0.1,0.02,0.1,1083,1083.6,0
1001,单线,1062.152,2024-01-02 00:00:00,0.09,1,0.04,0,1,72,101,1356,K856,101_1356,0.09,0.04,0.09,1062,1062.15,0
1001,单线,1059.445,2024-01-02 00:02:00,0.09,1,0.03,0,1,62,101,1356,K856,101_1356,0.09,0.03,0.09,1059,1059.45,0
1001,单线,1056.131,2024-01-02 00:06:00,0.09,1,0.02,0,1,65,101,1356,K856,101_1356,0.09,0.02,0.09,1056,1056.15,0
1001,单线,1049.849,2024-01-02 00:12:00,0.09,1,0.03,0,1,69,101,1356,K856,101_1356,0.09,0.03,0.09,1049,1049.85,0
1001,单线,1048.235,2024-01-02 00:13:00,0.1,1,0.06,0,1,80,101,1356,K856,101_1356,0.1,0.06,0.1,1048,1048.25,0
1001,单线,1046.316,2024-01-02 00:15:00,0.1,1,0.03,0,1,85,101,1356,K856,101_1356,0.1,0.03,0.1,1046,1046.3,0
1001,单线,1044.532,2024-01-02 00:16:00,0.09,1,0.03,0,1,64,101,1356,K856,101_1356,0.09,0.03,0.09,1044,1044.55,0
1001,单线,1038.443,2024-01-02 00:22:00,0.09,1,0.01,0,1,67,101,1356,K856,101_1356,0.09,0.01,0.09,1038,1038.45,0
1001,单线,1034.316,2024-01-02 00:26:00,0.09,1,0.03,0,1,60,101,1356,K856,101_1356,0.09,0.03,0.09,1034,1034.3,0
1001,单线,1021.292,2024-01-02 00:43:00,0.06,0,0.03,0,0,110,101,1356,K856,101_1356,0.06,0.03,0.06,1021,1021.3,0
1001,单线,1021.358,2024-01-02 00:43:00,0.05,0,0.07,1,1,110,101,1356,K856,101_1356,0.05,0.07,0.07,1021,1021.35,0
1001,单线,1014.694,2024-01-02 00:46:00,0.05,0,0.07,1,1,110,101,1356,K856,101_1356,0.05,0.07,0.07,1014,1014.7,0
1001,单线,1014.725,2024-01-02 00:46:00,0.03,0,0.07,1,1,110,101,1356,K856,101_1356,0.03,0.07,0.07,1014,1014.7,0
1001,单线,1011.327,2024-01-02 00:48:00,0.05,0,0.02,0,0,110,101,1356,K856,101_1356,0.05,0.02,0.05,1011,1011.35,0
1001,单线,1000.635,2024-01-02 04:16:00,0.08,1,0.02,0,1,67,101,1357,K855,101_1357,0.08,0.02,0.08,1000,1000.65,0
1001,单线,1012.768,2024-01-02 04:27:00,0.05,1,0.02,0,1,68,101,1357,K855,101_1357,0.05,0.02,0.05,1012,1012.75,0
1001,单线,1017.983,2024-01-02 04:32:00,0.04,1,0.02,0,1,69,101,1357,K855,101_1357,0.04,0.02,0.04,1017,1018.0,0
1001,单线,1020.033,2024-01-02 04:34:00,0.08,1,0.02,0,1,69,101,1357,K855,101_1357,0.08,0.02,0.08,1020,1020.05,0
1001,单线,1026.209,2024-01-02 04:40:00,0.04,1,0.02,0,1,50,101,1357,K855,101_1357,0.04,0.02,0.04,1026,1026.2,0
1001,单线,1030.913,2024-01-02 04:45:00,0.05,1,0.02,0,1,47,101,1357,K855,101_1357,0.05,0.02,0.05,1030,1030.9,0
1001,单线,1039.142,2024-01-02 05:03:00,0.04,1,0.02,0,1,45,101,1357,K855,101_1357,0.04,0.02,0.04,1039,1039.15,0
1001,单线,1051.16,2024-01-02 05:19:00,0.04,1,0.01,0,1,51,101,1357,K855,101_1357,0.04,0.01,0.04,1051,1051.15,0
1001,单线,1051.935,2024-01-02 05:19:00,0.08,1,0.02,0,1,52,101,1357,K855,101_1357,0.08,0.02,0.08,1051,1051.95,0
1001,单线,1054.339,2024-01-02 05:22:00,0.08,1,0.02,0,1,61,101,1357,K855,101_1357,0.08,0.02,0.08,1054,1054.35,0
1001,单线,1056.305,2024-01-02 05:24:00,0.09,1,0.04,0,1,75,101,1357,K855,101_1357,0.09,0.04,0.09,1056,1056.3,0
1001,单线,1056.205,2024-01-02 05:24:00,0.09,1,0.02,0,1,78,101,1357,K855,101_1357,0.09,0.02,0.09,1056,1056.2,0
1001,单线,1056.14,2024-01-02 05:24:00,0.04,1,0.02,0,1,77,101,1357,K855,101_1357,0.04,0.02,0.04,1056,1056.15,0
1001,单线,1056.273,2024-01-02 05:24:00,0.12,2,0.05,0,2,77,101,1357,K855,101_1357,0.12,0.05,0.12,1056,1056.25,0
1001,单线,1056.242,2024-01-02 05:24:00,0.1,1,0.05,0,1,77,101,1357,K855,101_1357,0.1,0.05,0.1,1056,1056.25,0
1001,单线,1057.745,2024-01-02 05:25:00,0.08,1,0.01,0,1,53,101,1357,K855,101_1357,0.08,0.01,0.08,1057,1057.75,0
1001,单线,1058.713,2024-01-02 05:26:00,0.09,1,0.03,0,1,65,101,1357,K855,101_1357,0.09,0.03,0.09,1058,1058.7,0
1001,单线,1059.49,2024-01-02 05:27:00,0.11,2,0.04,0,2,72,101,1357,K855,101_1357,0.11,0.04,0.11,1059,1059.5,0
1001,单线,1062.419,2024-01-02 05:29:00,0.12,2,0.06,0,2,94,101,1357,K855,101_1357,0.12,0.06,0.12,1062,1062.4,0
1001,单线,1062.078,2024-01-02 05:29:00,0.09,1,0.04,0,1,92,101,1357,K855,101_1357,0.09,0.04,0.09,1062,1062.1,0
1001,单线,1062.353,2024-01-02 05:29:00,0.09,1,0.05,0,1,94,101,1357,K855,101_1357,0.09,0.05,0.09,1062,1062.35,0
1001,单线,1062.611,2024-01-02 05:29:00,0.1,1,0.05,0,1,95,101,1357,K855,101_1357,0.1,0.05,0.1,1062,1062.6,0
1001,单线,1062.738,2024-01-02 05:29:00,0.1,1,0.05,0,1,96,101,1357,K855,101_1357,0.1,0.05,0.1,1062,1062.75,0
1001,单线,1062.579,2024-01-02 05:29:00,0.08,1,0.05,0,1,95,101,1357,K855,101_1357,0.08,0.05,0.08,1062,1062.6,0
1001,单线,1062.18,2024-01-02 05:29:00,0.08,1,0.05,0,1,93,101,1357,K855,101_1357,0.08,0.05,0.08,1062,1062.2,0
1001,单线,1061.876,2024-01-02 05:29:00,0.04,1,0.02,0,1,90,101,1357,K855,101_1357,0.04,0.02,0.04,1061,1061.9,0
1001,单线,1062.802,2024-01-02 05:29:00,0.09,1,0.05,0,1,96,101,1357,K855,101_1357,0.09,0.05,0.09,1062,1062.8,0
1001,单线,1062.008,2024-01-02 05:29:00,0.08,1,0.06,0,1,91,101,1357,K855,101_1357,0.08,0.06,0.08,1062,1062.0,0
1001,单线,1062.517,2024-01-02 05:29:00,0.08,1,0.02,0,1,95,101,1357,K855,101_1357,0.08,0.02,0.08,1062,1062.5,0
1001,单线,1062.645,2024-01-02 05:29:00,0.08,1,0.07,0,1,96,101,1357,K855,101_1357,0.08,0.07,0.08,1062,1062.65,0
1001,单线,1062.486,2024-01-02 05:29:00,0.09,1,0.03,0,1,94,101,1357,K855,101_1357,0.09,0.03,0.09,1062,1062.5,0
1001,单线,1062.386,2024-01-02 05:29:00,0.09,1,0.05,0,1,94,101,1357,K855,101_1357,0.09,0.05,0.09,1062,1062.4,0
1001,单线,1062.548,2024-01-02 05:29:00,0.08,1,0.03,0,1,95,101,1357,K855,101_1357,0.08,0.03,0.08,1062,1062.55,0
1001,单线,1063.366,2024-01-02 05:30:00,0.11,2,0.02,0,2,96,101,1357,K855,101_1357,0.11,0.02,0.11,1063,1063.35,0
1001,单线,1063.138,2024-01-02 05:30:00,0.1,1,0.07,0,1,98,101,1357,K855,101_1357,0.1,0.07,0.1,1063,1063.15,0
1001,单线,1064.3,2024-01-02 05:30:00,0.08,1,0.02,0,1,70,101,1357,K855,101_1357,0.08,0.02,0.08,1064,1064.3,0
1001,单线,1063.53,2024-01-02 05:30:00,0.09,1,0.04,0,1,91,101,1357,K855,101_1357,0.09,0.04,0.09,1063,1063.55,0
1001,单线,1064.015,2024-01-02 05:30:00,0.08,1,0.05,0,1,73,101,1357,K855,101_1357,0.08,0.05,0.08,1064,1064.0,0
1001,单线,1063.334,2024-01-02 05:30:00,0.1,1,0.03,0,1,97,101,1357,K855,101_1357,0.1,0.03,0.1,1063,1063.35,0
1001,单线,1064.601,2024-01-02 05:31:00,0.1,1,0.03,0,1,66,101,1357,K855,101_1357,0.1,0.03,0.1,1064,1064.6,0
1001,单线,1066.224,2024-01-02 05:32:00,0.08,1,0.03,0,1,61,101,1357,K855,101_1357,0.08,0.03,0.08,1066,1066.2,0
